ID,MARCA,MODELO,TIPO_AC,TECNOLOGIA,CAPACIDADE,REFRIGERANTE,LINK_MANUAL,LINK_VALIDADO,HTTP_CODE,TIPO_MANUAL,TAMANHO_PDF_MB,IDIOMA,DATA_MANUAL,OBSERVACOES,FONTE,STATUS,DATA_VERIFICACAO
DAI_FTK_001,Daikin,FTK-B Series,Split High Wall,Full Inverter,9-24k,R410A,https://backend.daikincomfort.com/docs/default-source/product-documents/residential/manuals/servicemanual/dama-sm-23-006-ftk-b-a.pdf,,,Serviço Técnico,,Português-BR,2023-06,Service Manual Oficial - Cooling & Heat Pump,Site oficial Daikin,Ativo,
DAI_FTK_002,Daikin,FTKP Series,Split High Wall,Inverter,9-24k,R410A,https://cdn2.centralar.com.br/centralar/mds/manuais/daikin/inverter/3P611135-1G%20Manual%20de%20Opera%C3%A7%C3%A3o%20FTKP.pdf,,,Misto,,Português-BR,2024-01,Manual Operação com instruções de serviço,Centralar,Ativo,
DAI_FTK_003,Daikin,Split Hi Wall Advanced,Split High Wall,Full Inverter R-410A,9-24k,R410A,https://pdf.webarcondicionado.com.br/daikin/manual/usuario/split-hi-wall-advance-daikin-FTK09P5VL-FTK12P5VL-FTK18P5VL-FTK24P5VL.pdf,,,Misto,,Português-BR,2023-09,Modelo Hi Wall Advance com diagrama,WebArCondicionado,Ativo,
DAI_FTK_004,Daikin,EcoSwing Smart Gold,Split High Wall,Smart Inverter,9-24k,R410A,https://loja.daikin.com.br/c/ar-condicionado-split-hi-wall/,,,Operação,,Português-BR,2024-11,Modelos disponíveis na loja oficial,Loja Daikin,Ativo,
LG_DI_001,LG,Dual Inverter Split,Split High Wall,Dual Inverter AI,9-24k,R32,https://www.lg.com/br/ar-condicionado-residencial/dual-inverter-split/,,,Operação,,Português-BR,2024-10,Página oficial com modelos e specs,Site LG Brasil,Ativo,
LG_DI_002,LG,Dual Inverter Voice +AI,Split High Wall,Dual Inverter AI,12k,R32,https://www.lg.com/br/ar-condicionado-residencial/dual-inverter-split/s3-q12ja33k/,,,Operação,,Português-BR,2024-11,Modelo com controle por voz integrado,Site LG Brasil,Ativo,
LG_WG_001,LG,WGM076FGA,Janela,Inverter,Janela,R410A,https://pdf.webarcondicionado.com.br/lg/manual/usuario/split-hi-wall-lg-WGM076FGA.pdf,,,Misto,,Português-BR,2022-05,Modelo split de janela específico,WebArCondicionado,Ativo,
SAM_ASV_001,Samsung,ASV Series Hi Wall,Split High Wall,Smart Inverter,9-24k,R410A,https://pdf.webarcondicionado.com.br/samsung/manual/usuario/mdu-split-hi-wall-asv09psbt-asv12psbt-asv18psbt-asv24psbt-smart-inverter.pdf,,,Misto,,Português-BR,2023-08,Manual usuário com instruções de serviço,WebArCondicionado,Ativo,
SAM_WF_001,Samsung,WindFree Connect,Split High Wall,Inverter Digital 8-polos,9-30k,R32,https://www.samsung.com/br/multisplit/,,,Operação,,Português-BR,2024-11,Tecnologia sem vento direto - WindFree,Site Samsung Brasil,Ativo,
FUJ_AS_001,Fujitsu,Airstage Premium,Split High Wall,Inverter 100% R-32,9-31k,R32,https://loja.br.fujitsu-general.com/linha-premium/hi-wall/,,,Operação,,Português-BR,2024-09,Linha Premium com Procel Ouro,Loja Fujitsu,Ativo,
FUJ_AS_002,Fujitsu,AirStage Hi Wall Inverter,Split High Wall,Compressor Rotativo Inverter,9-31k,R32,https://www.leverosintegra.com.br/download/manuais/Fujitsu/manual-de-instalacao-fujitsu-hw-airstage.pdf,,,Misto,,Português-BR,2023-12,Manual detalhado instalação/operação/serviço,Leveros Integra,Ativo,
MID_VI_001,Midea,Vita Inverter Split,Split High Wall,Inverter AI,9-24k,R410A,http://pdf.webarcondicionado.com.br/midea/manual/usuario/mdu-split-hi-wall-inverter-mp-b-0712.pdf,,,Misto,,Português-BR,2023-07,Manual operação/serviço completo,WebArCondicionado,Ativo,
SPR_XV_001,Midea/Springer,Xtreme Save Connect,Split High Wall,Inverter WiFi,9-24k,R410A,https://www.midea.com/content/dam/midea-aem/br/climatizacao/hiwall/ar-condicionado-springer-midea-inverter-xtreme-save-connect/,,,Misto,,Português-BR,2024-08,Modelo Springer com conectividade WiFi,Midea Brasil,Ativo,
YOR_HS_001,York,Home Star,Split High Wall,Compressor Rotativo Inverter,9-24k,R410A,https://www.colombo.com.br/produto/Eletrodomesticos/Ar-condicionado-Split-Hi-Wall-Inverter-York-12000-BTU-h-Home-Star-Quente-e-Frio-220V-R-32-Wi-Fi-62293.html,,,Operação,,Português-BR,2024-05,Modelo 12k com WiFi integrado,Colombo Brasil,Ativo,
